ticker,name,sector,weight_pct
NVDA,NVIDIA,Information Technology,6.83092
AAPL,APPLE,Information Technology,6.22162
MSFT,MICROSOFT,Information Technology,5.13536
AMZN,AMAZON.COM INC,Consumer Discretionary,3.47886
GOOGL,ALPHABET CLASS A,Communication,2.71831
AVGO,BROADCOM INC,Information Technology,2.30929
GOOG,ALPHABET CLASS C,Communication,2.19441
META,META PLATFORMS CLASS A,Communication,1.7102
MU,MICRON TECHNOLOGY,Information Technology,1.41542
TSLA,TESLA INC,Consumer Discretionary,1.3713
JPM,JPMORGAN CHASE & CO,Financials,1.28708
BRK-B,BERKSHIRE HATHAWAY INC CLASS B,Financials,1.26585
LLY,ELI LILLY,Health Care,1.26224
AMD,ADVANCED MICRO DEVICES,Information Technology,1.01935
XOM,EXXONMOBIL HOLDINGS CORP,Energy,0.87785
JNJ,JOHNSON & JOHNSON,Health Care,0.86945
V,VISA CLASS A,Financials,0.84812
MA,MASTERCARD CLASS A,Financials,0.64751
WMT,WALMART INC,Consumer Staples,0.60909
ABBV,ABBVIE,Health Care,0.60846
CSCO,CISCO SYSTEMS INC,Information Technology,0.58461
COST,COSTCO WHOLESALE CORP,Consumer Staples,0.56478
PLTR,PALANTIR TECHNOLOGIES CLASS A,Information Technology,0.55682
BAC,BANK OF AMERICA,Financials,0.55478
INTC,INTEL CORPORATION,Information Technology,0.55004
LRCX,LAM RESEARCH,Information Technology,0.50786
CVX,CHEVRON,Energy,0.5041
MRK,MERCK & CO INC,Health Care,0.49402
AMAT,APPLIED MATERIAL INC,Information Technology,0.49228
CAT,CATERPILLAR INC,Industrials,0.4893
UNH,UNITEDHEALTH GROUP INC,Health Care,0.47761
GE,GE AEROSPACE,Industrials,0.47628
KO,COCA-COLA,Consumer Staples,0.46906
NFLX,NETFLIX,Communication,0.46154
PG,PROCTER & GAMBLE,Consumer Staples,0.4513
HD,HOME DEPOT,Consumer Discretionary,0.44333
PANW,PALO ALTO NETWORKS,Information Technology,0.40342
PM,PHILIP MORRIS INTERNATIONAL INC,Consumer Staples,0.40288
GS,GOLDMAN SACHS GROUP INC,Financials,0.40141
RTX,RTX,Industrials,0.38444
WFC,WELLS FARGO,Financials,0.3576
ORCL,ORACLE,Information Technology,0.34825
GEV,GE VERNOVA,Industrials,0.33041
MS,MORGAN STANLEY,Financials,0.32422
TXN,TEXAS INSTRUMENT INC,Information Technology,0.31677
AMGN,AMGEN INC,Health Care,0.31407
TMO,THERMO FISHER SCIENTIFIC INC,Health Care,0.31171
KLAC,KLA,Information Technology,0.30926
C,CITIGROUP INC,Financials,0.30503
LIN,LINDE PLC,Materials,0.30311
IBM,INTERNATIONAL BUSINESS MACHINES,Information Technology,0.29865
CRWD,CROWDSTRIKE HOLDINGS CLASS A,Information Technology,0.29544
SNDK,SANDISK,Information Technology,0.29017
VZ,VERIZON COMMUNICATIONS INC,Communication,0.28169
ANET,ARISTA NETWORKS,Information Technology,0.275
CRM,SALESFORCE,Information Technology,0.27327
ABT,ABBOTT LABORATORIES,Health Care,0.26257
APH,AMPHENOL CORP CLASS A,Information Technology,0.25999
DIS,WALT DISNEY,Communication,0.25862
PEP,PEPSICO,Consumer Staples,0.25857
MRVL,MARVELL TECHNOLOGY,Information Technology,0.25476
MCD,MCDONALDS CORP,Consumer Discretionary,0.25273
UNP,UNION PACIFIC,Industrials,0.24604
GILD,GILEAD SCIENCES,Health Care,0.24415
SCHW,CHARLES SCHWAB,Financials,0.24281
BLK,BLACKROCK,Financials,0.23922
ADI,ANALOG DEVICES,Information Technology,0.2381
AXP,AMERICAN EXPRESS,Financials,0.23757
